0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:53 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:53 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:57 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:57 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:57 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:25:03 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:25:03 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:25:03 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:25:49 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:25:49 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:25:49 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:26:43 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:26:43 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 580
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:26:43 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:45 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:45 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 600
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:45 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:53 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:27:53 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
